x,realyaw
0.105,0.1
-2.4,-3.0
-3.31,-6.97
-4.53,-8.5
-8.83,-14.1
-11.47,-17.41
-15.94,-22.79
-19.88,-27.39
-22.66,-30.61
-24.96,-33.15

0.96,0.6
3.41,4.25
6.58,8.59
9.55,12.56
12.24,16.1
15.1, 19.86
17.03,22.41
22.04,28.92
26.14,34.23

-0.63,-0.74
-1.61,-1.98
-2.72,-3.5
-4.5,-5.88
-6.2,-8.05
-8.46,-10.9
-10.23,-13.15
-13.27,-16.87
-15.92,-20.03
-19.39,-24.08
-22.89,-28.18
-24.55,-30
-26.41,-31.8

2.05,2.62
3,3.84
4.74,6.11
6.11,7.92
9.25,11.99
12.73,16.45
16.07,20.78
19.45,25.04
22.7,29.16
24.97,32.02
25.38,32.64